dianping_id,dianping_url,name,category,photo_url,rating_flavor,rating_environ,rating_service,address,price_per_person,phone_number,lat,lng
97040848,http://www.dianping.com/shop/97040848,轩货鱼捞(海上海店),火锅,https://img.meituan.net/msmerchant/3644f0f1590c1f16fe9e92cce513d08673915.jpg%40280w_212h_1e_1c_1l%7Cwatermark%3D0,8.5,8.5,8.7,和韵路334号(海上海北苑底商),60,028-83128789,30.63013451949951,104.15702670940576
21383918,http://www.dianping.com/shop/21383918,重庆渝宗燚老火锅(建设路店),火锅,http://p1.meituan.net/apiback/fdc1edd3bd6780dbc64686ed4689a60156178.jpg%40240w_180h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20,7.8,8.1,7.8,建设巷1号附16号(第五大道),74,028-68889559,30.672565039802784,104.10079322473096
22877672,http://www.dianping.com/shop/22877672,妙厨老爹泉水蒸汽石锅鱼(sm广场店),火锅,http://qcloud.dpfile.com/pc/RARb54BA0eQTZnZCdGAl9NNyif0_smypldeZQRsFvCwchVTUwgs16tFR7U48rkUt52lfszCzH6kCpIe1c2_41Q.jpg,8.1,8.1,8.3,二环路东二段29号sm广场B1层,65,028-84368563,30.67009910840208,104.11030071597867
92428864,http://www.dianping.com/shop/92428864,大龙火锅(驷马桥店),火锅,http://p1.meituan.net/deal/4885c6b56f98b3fce125d64e076c9ad441296.jpg%40240w_180h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20,7.4,8.1,7.7,中环路双荆路段6号附23号,77,028-61295386,30.7114565591926,104.09391542449771
6211396,http://www.dianping.com/shop/6211396,自贡芭夯兔(建设路店),其他,http://p1.meituan.net/mogu/64ff37a712d49ad7d7dceb4bae5a887d3795679.png%40240w_180h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20,8.1,8.1,8.1,一环路东一段13号,71,028-81451768,30.67140307070321,104.09753745736188
8854588,http://www.dianping.com/shop/8854588,重庆老外婆耗儿鱼,火锅,http://p1.meituan.net/deal/__30772236__1624183.jpg%40240w_180h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20,8,7.7,7.6,望平街香香巷1-5号(近东风大桥),80,028-61301071,30.656361171513296,104.08732015883838
22144166,http://www.dianping.com/shop/22144166,鸿社重庆老火锅,火锅,http://qcloud.dpfile.com/pc/yK20p-ogEJ5Il2YPs5nRA4dYkqpSX-VbHsdSlpxnfe8e2PniMAJK4tejDqonl8XN52lfszCzH6kCpIe1c2_41Q.jpg,8.4,6.6,7.1,建设南一路菽香里一巷36号,77,13618063002,30.666627921871406,104.1018045483524
93465671,http://www.dianping.com/shop/93465671,安安泡菜汤锅,火锅,https://img.meituan.net/msmerchant/5647d844a2918b8c60acf9bfea661355899533.jpg%40280w_212h_1e_1c_1l%7Cwatermark%3D0,8.2,9.1,8.8,建设路建设巷1号附20号(电子科大万人公寓正门右侧),70,028-86612065,30.67321770722258,104.10060419082406
528635,http://www.dianping.com/shop/528635,宋二姐土鸡火锅(新华公园总店),火锅,https://img.meituan.net/msmerchant/99f9ef5ced644a29c5d886f080a1800b3046307.jpg%40280w_212h_1e_1c_1l%7Cwatermark%3D0,7.5,7.6,7.9,新华公园(近双林北支路),66,028-84318409,30.659278795747706,104.10028283139921
66928412,http://www.dianping.com/shop/66928412,無贰重庆老火锅,火锅,http://p0.meituan.net/ugcpic/b68f3c55635ad9dfe5fd5606053fa884%40240w_180h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20,8.7,7.5,8.5,新鸿北支路10号(红光路制药五厂宿舍内),81,15682074527,30.666021189426097,104.10714864912075
